Frequency,Magnitue,Phase
1.05075145486553e+00,-2.74628509461288e+01,8.29126276735321e+01
1.05099342718620e+00,-2.74608678341664e+01,8.29113507245903e+01
1.05123545522946e+00,-2.74588847290652e+01,8.29100734136817e+01
1.05147753900816e+00,-2.74569016308278e+01,8.29087957407464e+01
1.05171967853513e+00,-2.74549185394572e+01,8.29075177057246e+01
1.05196187382320e+00,-2.74529354549561e+01,8.29062393085565e+01
1.05220412488522e+00,-2.74509523773274e+01,8.29049605491821e+01
1.05244643173404e+00,-2.74489693065740e+01,8.29036814275415e+01
1.05268879438248e+00,-2.74469862426986e+01,8.29024019435747e+01
1.05293121284342e+00,-2.74450031857040e+01,8.29011220972220e+01
1.05317368712970e+00,-2.74430201355931e+01,8.28998418884232e+01
1.05341621725417e+00,-2.74410370923688e+01,8.28985613171185e+01
1.05365880322970e+00,-2.74390540560338e+01,8.28972803832478e+01
1.05390144506914e+00,-2.74370710265910e+01,8.28959990867512e+01
1.05414414278537e+00,-2.74350880040432e+01,8.28947174275686e+01
1.05438689639124e+00,-2.74331049883932e+01,8.28934354056399e+01
1.05462970589963e+00,-2.74311219796439e+01,8.28921530209053e+01
1.05487257132342e+00,-2.74291389777981e+01,8.28908702733044e+01
1.05511549267547e+00,-2.74271559828587e+01,8.28895871627774e+01
1.05535846996868e+00,-2.74251729948284e+01,8.28883036892641e+01
1.05560150321591e+00,-2.74231900137101e+01,8.28870198527044e+01
1.05584459243006e+00,-2.74212070395067e+01,8.28857356530382e+01
1.05608773762402e+00,-2.74192240722210e+01,8.28844510902052e+01
1.05633093881067e+00,-2.74172411118558e+01,8.28831661641455e+01
1.05657419600291e+00,-2.74152581584140e+01,8.28818808747988e+01
1.05681750921364e+00,-2.74132752118984e+01,8.28805952221049e+01
1.05706087845575e+00,-2.74112922723118e+01,8.28793092060037e+01
1.05730430374216e+00,-2.74093093396572e+01,8.28780228264348e+01
1.05754778508577e+00,-2.74073264139372e+01,8.28767360833381e+01
1.05779132249948e+00,-2.74053434951549e+01,8.28754489766533e+01
1.05803491599621e+00,-2.74033605833130e+01,8.28741615063202e+01
1.05827856558887e+00,-2.74013776784143e+01,8.28728736722785e+01
1.05852227129039e+00,-2.73993947804618e+01,8.28715854744679e+01
1.05876603311368e+00,-2.73974118894582e+01,8.28702969128280e+01
1.05900985107166e+00,-2.73954290054065e+01,8.28690079872986e+01
1.05925372517727e+00,-2.73934461283094e+01,8.28677186978193e+01
1.05949765544343e+00,-2.73914632581699e+01,8.28664290443297e+01
1.05974164188308e+00,-2.73894803949907e+01,8.28651390267696e+01
1.05998568450915e+00,-2.73874975387747e+01,8.28638486450785e+01
1.06022978333458e+00,-2.73855146895248e+01,8.28625578991959e+01
1.06047393837231e+00,-2.73835318472439e+01,8.28612667890616e+01
1.06071814963529e+00,-2.73815490119347e+01,8.28599753146149e+01
1.06096241713647e+00,-2.73795661836002e+01,8.28586834757956e+01
1.06120674088880e+00,-2.73775833622432e+01,8.28573912725432e+01
1.06145112090522e+00,-2.73756005478665e+01,8.28560987047970e+01
1.06169555719870e+00,-2.73736177404730e+01,8.28548057724968e+01
1.06194004978220e+00,-2.73716349400656e+01,8.28535124755819e+01
1.06218459866868e+00,-2.73696521466472e+01,8.28522188139918e+01
1.06242920387110e+00,-2.73676693602206e+01,8.28509247876660e+01
1.06267386540244e+00,-2.73656865807886e+01,8.28496303965440e+01
1.06291858327567e+00,-2.73637038083541e+01,8.28483356405651e+01
1.06316335750375e+00,-2.73617210429200e+01,8.28470405196688e+01
1.06340818809967e+00,-2.73597382844892e+01,8.28457450337945e+01
1.06365307507642e+00,-2.73577555330645e+01,8.28444491828815e+01
1.06389801844696e+00,-2.73557727886488e+01,8.28431529668692e+01
1.06414301822429e+00,-2.73537900512450e+01,8.28418563856970e+01
1.06438807442141e+00,-2.73518073208558e+01,8.28405594393043e+01
1.06463318705129e+00,-2.73498245974843e+01,8.28392621276302e+01
1.06487835612694e+00,-2.73478418811332e+01,8.28379644506142e+01
1.06512358166136e+00,-2.73458591718055e+01,8.28366664081954e+01
1.06536886366754e+00,-2.73438764695040e+01,8.28353680003134e+01
1.06561420215850e+00,-2.73418937742315e+01,8.28340692269071e+01
1.06585959714723e+00,-2.73399110859911e+01,8.28327700879160e+01
1.06610504864676e+00,-2.73379284047854e+01,8.28314705832791e+01
1.06635055667008e+00,-2.73359457306175e+01,8.28301707129358e+01
1.06659612123023e+00,-2.73339630634901e+01,8.28288704768253e+01
1.06684174234022e+00,-2.73319804034062e+01,8.28275698748867e+01
1.06708742001307e+00,-2.73299977503687e+01,8.28262689070591e+01
1.06733315426181e+00,-2.73280151043804e+01,8.28249675732818e+01
1.06757894509947e+00,-2.73260324654441e+01,8.28236658734938e+01
1.06782479253907e+00,-2.73240498335629e+01,8.28223638076343e+01
1.06807069659366e+00,-2.73220672087395e+01,8.28210613756424e+01
1.06831665727627e+00,-2.73200845909770e+01,8.28197585774572e+01
1.06856267459994e+00,-2.73181019802780e+01,8.28184554130178e+01
1.06880874857771e+00,-2.73161193766455e+01,8.28171518822631e+01
1.06905487922263e+00,-2.73141367800825e+01,8.28158479851323e+01
1.06930106654776e+00,-2.73121541905917e+01,8.28145437215643e+01
1.06954731056614e+00,-2.73101716081762e+01,8.28132390914983e+01
1.06979361129082e+00,-2.73081890328387e+01,8.28119340948731e+01
1.07003996873488e+00,-2.73062064645821e+01,8.28106287316278e+01
1.07028638291136e+00,-2.73042239034095e+01,8.28093230017014e+01
1.07053285383334e+00,-2.73022413493235e+01,8.28080169050327e+01
1.07077938151388e+00,-2.73002588023272e+01,8.28067104415607e+01
1.07102596596605e+00,-2.72982762624235e+01,8.28054036112243e+01
1.07127260720292e+00,-2.72962937296151e+01,8.28040964139624e+01
1.07151930523758e+00,-2.72943112039051e+01,8.28027888497140e+01
1.07176606008310e+00,-2.72923286852963e+01,8.28014809184178e+01
1.07201287175257e+00,-2.72903461737916e+01,8.28001726200128e+01
1.07225974025906e+00,-2.72883636693940e+01,8.27988639544378e+01
1.07250666561568e+00,-2.72863811721062e+01,8.27975549216316e+01
1.07275364783550e+00,-2.72843986819313e+01,8.27962455215329e+01
1.07300068693164e+00,-2.72824161988721e+01,8.27949357540807e+01
1.07324778291717e+00,-2.72804337229314e+01,8.27936256192137e+01
1.07349493580521e+00,-2.72784512541123e+01,8.27923151168707e+01
1.07374214560886e+00,-2.72764687924177e+01,8.27910042469903e+01
1.07398941234122e+00,-2.72744863378503e+01,8.27896930095114e+01
1.07423673601540e+00,-2.72725038904132e+01,8.27883814043725e+01
1.07448411664453e+00,-2.72705214501092e+01,8.27870694315126e+01
