Frequency,Magnitude,Phase
1.55238700995807e+00,-2.33014631837891e+01,8.53385917857504e+01
1.55596563160506e+00,-2.32815469678499e+01,8.53290003900529e+01
1.55955250282694e+00,-2.32616311337806e+01,8.53193844357085e+01
1.56314764264094e+00,-2.32417156833461e+01,8.53097438731594e+01
1.56675107010813e+00,-2.32218006183184e+01,8.53000786527227e+01
1.57036280433354e+00,-2.32018859404783e+01,8.52903887246015e+01
1.57398286446620e+00,-2.31819716516141e+01,8.52806740388736e+01
1.57761126969933e+00,-2.31620577535226e+01,8.52709345454940e+01
1.58124803927037e+00,-2.31421442480085e+01,8.52611701943012e+01
1.58489319246110e+00,-2.31222311368840e+01,8.52513809350087e+01
1.58854674859776e+00,-2.31023184219707e+01,8.52415667172054e+01
1.59220872705115e+00,-2.30824061050977e+01,8.52317274903656e+01
1.59587914723672e+00,-2.30624941881019e+01,8.52218632038348e+01
1.59955802861465e+00,-2.30425826728293e+01,8.52119738068399e+01
1.60324539069002e+00,-2.30226715611341e+01,8.52020592484824e+01
1.60694125301286e+00,-2.30027608548782e+01,8.51921194777435e+01
1.61064563517825e+00,-2.29828505559323e+01,8.51821544434781e+01
1.61435855682647e+00,-2.29629406661759e+01,8.51721640944225e+01
1.61808003764305e+00,-2.29430311874966e+01,8.51621483791840e+01
1.62181009735891e+00,-2.29231221217899e+01,8.51521072462519e+01
1.62554875575047e+00,-2.29032134709611e+01,8.51420406439887e+01
1.62929603263970e+00,-2.28833052369233e+01,8.51319485206317e+01
1.63305194789432e+00,-2.28633974215982e+01,8.51218308242958e+01
1.63681652142779e+00,-2.28434900269165e+01,8.51116875029704e+01
1.64058977319952e+00,-2.28235830548171e+01,8.51015185045223e+01
1.64437172321491e+00,-2.28036765072481e+01,8.50913237766931e+01
1.64816239152549e+00,-2.27837703861663e+01,8.50811032670955e+01
1.65196179822900e+00,-2.27638646935373e+01,8.50708569232204e+01
1.65576996346951e+00,-2.27439594313348e+01,8.50605846924349e+01
1.65958690743754e+00,-2.27240546015431e+01,8.50502865219757e+01
1.66341265037015e+00,-2.27041502061535e+01,8.50399623589569e+01
1.66724721255104e+00,-2.26842462471681e+01,8.50296121503663e+01
1.67109061431069e+00,-2.26643427265961e+01,8.50192358430655e+01
1.67494287602642e+00,-2.26444396464572e+01,8.50088333837888e+01
1.67880401812254e+00,-2.26245370087798e+01,8.49984047191428e+01
1.68267406107045e+00,-2.26046348156011e+01,8.49879497956093e+01
1.68655302538872e+00,-2.25847330689680e+01,8.49774685595448e+01
1.69044093164324e+00,-2.25648317709362e+01,8.49669609571747e+01
1.69433780044731e+00,-2.25449309235708e+01,8.49564269345978e+01
1.69824365246172e+00,-2.25250305289463e+01,8.49458664377869e+01
1.70215850839493e+00,-2.25051305891467e+01,8.49352794125844e+01
1.70608238900310e+00,-2.24852311062646e+01,8.49246658047076e+01
1.71001531509027e+00,-2.24653320824028e+01,8.49140255597452e+01
1.71395730750840e+00,-2.24454335196734e+01,8.49033586231549e+01
1.71790838715757e+00,-2.24255354201978e+01,8.48926649402658e+01
1.72186857498599e+00,-2.24056377861075e+01,8.48819444562820e+01
1.72583789199018e+00,-2.23857406195424e+01,8.48711971162766e+01
1.72981635921508e+00,-2.23658439226535e+01,8.48604228651903e+01
1.73380399775412e+00,-2.23459476976008e+01,8.48496216478406e+01
1.73780082874935e+00,-2.23260519465534e+01,8.48387934089107e+01
1.74180687339159e+00,-2.23061566716912e+01,8.48279380929516e+01
1.74582215292048e+00,-2.22862618752037e+01,8.48170556443912e+01
1.74984668862464e+00,-2.22663675592895e+01,8.48061460075225e+01
1.75388050184174e+00,-2.22464737261582e+01,8.47952091265105e+01
1.75792361395867e+00,-2.22265803780286e+01,8.47842449453851e+01
1.76197604641161e+00,-2.22066875171296e+01,8.47732534080505e+01
1.76603782068614e+00,-2.21867951457004e+01,8.47622344582755e+01
1.77010895831740e+00,-2.21669032659897e+01,8.47511880397021e+01
1.77418948089014e+00,-2.21470118802568e+01,8.47401140958406e+01
1.77827941003890e+00,-2.21271209907714e+01,8.47290125700615e+01
1.78237876744807e+00,-2.21072305998131e+01,8.47178834056132e+01
1.78648757485203e+00,-2.20873407096711e+01,8.47067265456075e+01
1.79060585403527e+00,-2.20674513226465e+01,8.46955419330239e+01
1.79473362683250e+00,-2.20475624410486e+01,8.46843295107115e+01
1.79887091512876e+00,-2.20276740671993e+01,8.46730892213837e+01
1.80301774085955e+00,-2.20077862034297e+01,8.46618210076227e+01
1.80717412601090e+00,-2.19878988520816e+01,8.46505248118779e+01
1.81134009261958e+00,-2.19680120155068e+01,8.46392005764656e+01
1.81551566277311e+00,-2.19481256960687e+01,8.46278482435661e+01
1.81970085860996e+00,-2.19282398961410e+01,8.46164677552281e+01
1.82389570231961e+00,-2.19083546181078e+01,8.46050590533666e+01
1.82810021614272e+00,-2.18884698643638e+01,8.45936220797636e+01
1.83231442237119e+00,-2.18685856373146e+01,8.45821567760612e+01
1.83653834334832e+00,-2.18487019393775e+01,8.45706630837732e+01
1.84077200146893e+00,-2.18288187729794e+01,8.45591409442752e+01
1.84501541917945e+00,-2.18089361405586e+01,8.45475902988099e+01
1.84926861897805e+00,-2.17890540445644e+01,8.45360110884825e+01
1.85353162341479e+00,-2.17691724874568e+01,8.45244032542657e+01
1.85780445509167e+00,-2.17492914717079e+01,8.45127667369932e+01
1.86208713666284e+00,-2.17294109997995e+01,8.45011014773662e+01
1.86637969083464e+00,-2.17095310742255e+01,8.44894074159493e+01
1.87068214036577e+00,-2.16896516974908e+01,8.44776844931682e+01
1.87499450806739e+00,-2.16697728721112e+01,8.44659326493147e+01
1.87931681680324e+00,-2.16498946006143e+01,8.44541518245444e+01
1.88364908948977e+00,-2.16300168855384e+01,8.44423419588761e+01
1.88799134909627e+00,-2.16101397294343e+01,8.44305029921865e+01
1.89234361864495e+00,-2.15902631348631e+01,8.44186348642248e+01
1.89670592121112e+00,-2.15703871043983e+01,8.44067375145929e+01
1.90107827992327e+00,-2.15505116406245e+01,8.43948108827629e+01
1.90546071796322e+00,-2.15306367461377e+01,8.43828549080643e+01
1.90985325856621e+00,-2.15107624235460e+01,8.43708695296904e+01
1.91425592502106e+00,-2.14908886754693e+01,8.43588546866943e+01
1.91866874067026e+00,-2.14710155045383e+01,8.43468103179953e+01
1.92309172891013e+00,-2.14511429133974e+01,8.43347363623693e+01
1.92752491319091e+00,-2.14312709047008e+01,8.43226327584546e+01
1.93196831701690e+00,-2.14113994811155e+01,8.43104994447536e+01
1.93642196394658e+00,-2.13915286453214e+01,8.42983363596249e+01
1.94088587759275e+00,-2.13716584000084e+01,8.42861434412915e+01
1.94536008162263e+00,-2.13517887478806e+01,8.42739206278322e+01
1.94984459975802e+00,-2.13319196916524e+01,8.42616678571922e+01
1.95433945577537e+00,-2.13120512340516e+01,8.42493850671706e+01
1.95884467350596e+00,-2.12921833778184e+01,8.42370721954306e+01
1.96336027683602e+00,-2.12723161257039e+01,8.42247291794924e+01
1.96788628970682e+00,-2.12524494804725e+01,8.42123559567377e+01
1.97242273611482e+00,-2.12325834449018e+01,8.41999524644039e+01
1.97696964011183e+00,-2.12127180217799e+01,8.41875186395933e+01
1.98152702580507e+00,-2.11928532139091e+01,8.41750544192599e+01
1.98609491735734e+00,-2.11729890241037e+01,8.41625597402220e+01
