Frequency,Magnitude,Phase
1.05050953825464e+00,-8.62016761273293e+00,-1.12433783911171e+02
1.05075145486553e+00,-8.61842738483643e+00,-1.12438154323075e+02
1.05099342718620e+00,-8.61668726068575e+00,-1.12442525561723e+02
1.05123545522946e+00,-8.61494724031639e+00,-1.12446897627134e+02
1.05147753900816e+00,-8.61320732376407e+00,-1.12451270519328e+02
1.05171967853513e+00,-8.61146751106453e+00,-1.12455644238324e+02
1.05196187382320e+00,-8.60972780225324e+00,-1.12460018784142e+02
1.05220412488522e+00,-8.60798819736567e+00,-1.12464394156803e+02
1.05244643173404e+00,-8.60624869643752e+00,-1.12468770356323e+02
1.05268879438248e+00,-8.60450929950457e+00,-1.12473147382725e+02
1.05293121284342e+00,-8.60277000660229e+00,-1.12477525236026e+02
1.05317368712970e+00,-8.60103081776621e+00,-1.12481903916245e+02
1.05341621725417e+00,-8.59929173303226e+00,-1.12486283423403e+02
1.05365880322970e+00,-8.59755275243580e+00,-1.12490663757518e+02
1.05390144506914e+00,-8.59581387601289e+00,-1.12495044918609e+02
1.05414414278537e+00,-8.59407510379882e+00,-1.12499426906694e+02
1.05438689639124e+00,-8.59233643582934e+00,-1.12503809721794e+02
1.05462970589963e+00,-8.59059787214036e+00,-1.12508193363927e+02
1.05487257132342e+00,-8.58885941276729e+00,-1.12512577833111e+02
1.05511549267547e+00,-8.58712105774594e+00,-1.12516963129365e+02
1.05535846996868e+00,-8.58538280711198e+00,-1.12521349252708e+02
1.05560150321591e+00,-8.58364466090129e+00,-1.12525736203158e+02
1.05584459243006e+00,-8.58190661914914e+00,-1.12530123980735e+02
1.05608773762402e+00,-8.58016868189184e+00,-1.12534512585455e+02
1.05633093881067e+00,-8.57843084916463e+00,-1.12538902017338e+02
1.05657419600291e+00,-8.57669312100352e+00,-1.12543292276403e+02
1.05681750921364e+00,-8.57495549744417e+00,-1.12547683362666e+02
1.05706087845575e+00,-8.57321797852253e+00,-1.12552075276147e+02
1.05730430374216e+00,-8.57148056427391e+00,-1.12556468016863e+02
1.05754778508577e+00,-8.56974325473448e+00,-1.12560861584833e+02
1.05779132249948e+00,-8.56800604993977e+00,-1.12565255980075e+02
1.05803491599621e+00,-8.56626894992563e+00,-1.12569651202606e+02
1.05827856558887e+00,-8.56453195472806e+00,-1.12574047252443e+02
1.05852227129039e+00,-8.56279506438247e+00,-1.12578444129607e+02
1.05876603311368e+00,-8.56105827892506e+00,-1.12582841834112e+02
1.05900985107166e+00,-8.55932159839122e+00,-1.12587240365979e+02
1.05925372517727e+00,-8.55758502281721e+00,-1.12591639725223e+02
1.05949765544343e+00,-8.55584855223860e+00,-1.12596039911862e+02
1.05974164188308e+00,-8.55411218669110e+00,-1.12600440925915e+02
1.05998568450915e+00,-8.55237592621083e+00,-1.12604842767398e+02
1.06022978333458e+00,-8.55063977083342e+00,-1.12609245436328e+02
1.06047393837231e+00,-8.54890372059486e+00,-1.12613648932724e+02
1.06071814963529e+00,-8.54716777553081e+00,-1.12618053256601e+02
1.06096241713647e+00,-8.54543193567735e+00,-1.12622458407978e+02
1.06120674088880e+00,-8.54369620107026e+00,-1.12626864386870e+02
1.06145112090522e+00,-8.54196057174520e+00,-1.12631271193296e+02
1.06169555719870e+00,-8.54022504773855e+00,-1.12635678827273e+02
1.06194004978220e+00,-8.53848962908589e+00,-1.12640087288816e+02
1.06218459866868e+00,-8.53675431582315e+00,-1.12644496577942e+02
