Frequency,Magnitude,Phase,
1.1342,-8.0466,-113.9349,
1.1345,-8.0449,-113.9396,
1.1347,-8.0432,-113.9442,
1.1350,-8.0415,-113.9489,
1.1353,-8.0398,-113.9535,
1.1355,-8.0381,-113.9582,
1.1358,-8.0364,-113.9628,
1.1361,-8.0347,-113.9675,
1.1363,-8.0330,-113.9721,
1.1366,-8.0313,-113.9768,
1.1368,-8.0296,-113.9814,
1.1371,-8.0279,-113.9861,
1.1374,-8.0262,-113.9907,
1.1376,-8.0245,-113.9954,
1.1379,-8.0228,-114.0000,
1.1382,-8.0211,-114.0047,
1.1384,-8.0194,-114.0094,
1.1387,-8.0177,-114.0140,
1.1389,-8.0160,-114.0187,
1.1392,-8.0143,-114.0233,
1.1395,-8.0126,-114.0280,
1.1397,-8.0109,-114.0327,
1.1400,-8.0092,-114.0373,
1.1402,-8.0075,-114.0420,
1.1405,-8.0058,-114.0467,
1.1408,-8.0041,-114.0513,
1.1410,-8.0024,-114.0560,
1.1413,-8.0007,-114.0607,
1.1416,-7.9990,-114.0653,
1.1418,-7.9973,-114.0700,
1.1421,-7.9956,-114.0747,
1.1424,-7.9939,-114.0793,
1.1426,-7.9922,-114.0840,
1.1429,-7.9905,-114.0887,
1.1431,-7.9888,-114.0934,
1.1434,-7.9871,-114.0980,
1.1437,-7.9854,-114.1027,
1.1439,-7.9837,-114.1074,
1.1442,-7.9820,-114.1121,
1.1445,-7.9803,-114.1167,
1.1447,-7.9786,-114.1214,
1.1450,-7.9769,-114.1261,
1.1452,-7.9752,-114.1308,
1.1455,-7.9735,-114.1355,
1.1458,-7.9718,-114.1401,
1.1460,-7.9701,-114.1448,
1.1463,-7.9684,-114.1495,
1.1466,-7.9667,-114.1542,
1.1468,-7.9650,-114.1589,
1.1471,-7.9633,-114.1636,
1.1474,-7.9616,-114.1683,
1.1476,-7.9599,-114.1729,
1.1479,-7.9582,-114.1776,
1.1482,-7.9565,-114.1823,
1.1484,-7.9548,-114.1870,
1.1487,-7.9531,-114.1917,
1.1489,-7.9514,-114.1964,
1.1492,-7.9497,-114.2011,
1.1495,-7.9480,-114.2058,
1.1497,-7.9463,-114.2105,
1.1500,-7.9446,-114.2152,
1.1503,-7.9429,-114.2199,
1.1505,-7.9412,-114.2246,
1.1508,-7.9395,-114.2293,
1.1511,-7.9378,-114.2340,
1.1513,-7.9361,-114.2387,
1.1516,-7.9344,-114.2434,
1.1519,-7.9327,-114.2481,
1.1521,-7.9310,-114.2528,
1.1524,-7.9293,-114.2575,
1.1527,-7.9277,-114.2622,
1.1529,-7.9260,-114.2669,
1.1532,-7.9243,-114.2716,
1.1535,-7.9226,-114.2763,
1.1537,-7.9209,-114.2810,
1.1540,-7.9192,-114.2857,
