Frequency (Hz),Trace 1: Impedance: Real (Ω),Trace 1: Impedance: Imaginary (Ω),Trace 1: Impedance: Rs (Ω),Trace 2: Impedance: Real (Ω),Trace 2: Impedance: Imaginary (Ω),Trace 2: Impedance: Phase (°)
438.79576,31166.2296694375,-406607.851018648,31166.2296694375,31166.2296694375,-406607.851018648,-85.6168858071855
447.213595,29339.3229040698,-398767.211551376,29339.3229040698,29339.3229040698,-398767.211551376,-85.7920414219656
455.792918,28811.1136906544,-391995.921635357,28811.1136906544,28811.1136906544,-391995.921635357,-85.7964043817874
464.536826,29108.2743959331,-385609.419735826,29108.2743959331,29108.2743959331,-385609.419735826,-85.6831337886755
473.448476,29527.5232808577,-377868.819830635,29527.5232808577,29527.5232808577,-377868.819830635,-85.5318580569146
482.531087,28050.3152477801,-373097.692216794,28050.3152477801,28050.3152477801,-373097.692216794,-85.7004643972187
491.787938,27113.1077881277,-363564.976170346,27113.1077881277,27113.1077881277,-363564.976170346,-85.7350228048841
501.222372,28311.3284343874,-359302.360456508,28311.3284343874,28311.3284343874,-359302.360456508,-85.494671957998
510.837796,26806.3624996829,-351995.027406402,26806.3624996829,26806.3624996829,-351995.027406402,-85.6450165816083
520.637682,27277.5236386689,-347102.276465718,27277.5236386689,27277.5236386689,-347102.276465718,-85.5065651151188
530.625568,25738.8878292273,-339771.915915222,25738.8878292273,25738.8878292273,-339771.915915222,-85.6679222325397
540.805062,26367.9090977107,-333013.126750656,26367.9090977107,26367.9090977107,-333013.126750656,-85.4727775523096
551.179838,25669.310183087,-327133.409561208,25669.310183087,25669.310183087,-327133.409561208,-85.5133420333447
561.753643,25517.5769546386,-322263.675261957,25517.5769546386,25517.5769546386,-322263.675261957,-85.4726349406395
572.530296,24883.4821183657,-316686.124378228,24883.4821183657,24883.4821183657,-316686.124378228,-85.5072385423468
583.513687,24102.4321968839,-309940.466177898,24102.4321968839,24102.4321968839,-309940.466177898,-85.5533590596759
594.707784,23980.6085292142,-303886.520192511,23980.6085292142,23980.6085292142,-303886.520192511,-85.48796634927
606.116627,23895.72902128,-299407.653664502,23895.72902128,23895.72902128,-299407.653664502,-85.4368950775699
617.744337,24761.0790207583,-294764.071230089,24761.0790207583,24761.0790207583,-294764.071230089,-85.1982535071335
629.595112,21344.6014832674,-287871.235118596,21344.6014832674,21344.6014832674,-287871.235118596,-85.7594866899009
641.673232,22216.7575425033,-282514.638846445,22216.7575425033,22216.7575425033,-282514.638846445,-85.5035528267522
653.983058,21247.8701656016,-278509.134179739,21247.8701656016,21247.8701656016,-278509.134179739,-85.6372721387703
666.529035,20608.4776757893,-273152.37474713,20608.4776757893,20608.4776757893,-273152.37474713,-85.6853898986198
679.315693,20150.9211708823,-268041.218944703,20150.9211708823,20150.9211708823,-268041.218944703,-85.7006800342682
